,Text,Reason,Sentiment,Emotion
50,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",Sales for both the Department Store Division and Hobby Hall increased by 7 %,-1.0,Unhappy
78,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production ., scale formation in North Sea can plug pipelines and halt production,-1.0,Unhappy
1,as the asian trading session begins  the global  cryptocurrency market cap is up 68  in the last hours  however  of the top coins  prices are down     bitcoin  341  76      ethereum  711  79 ,global  cryptocurrency market cap is up 68,0.0,Confused
3,meet the elon musk deep fakes being used to promote crypto scams, promote crypto scams,0.0,Confused
5,you really need a level head when you  trade  you cant trade with emotions btc  eth  matic bullish  cryptocurrency,bullish  cryptocurrency,0.0,Confused
8,that crypto currency cant be trusted was revealed to us after trudeau took control over gofundme  giveandgo  and crypto  canada is a dictatorship if emperor trudeau doesn t like the charity you donate to  your account will be frozen and you may go to jail, crypto currency cant be trusted,0.0,Confused
9,ethereum mining alternative ravencoin jumps ahead of the merge,ravencoin jumps ahead of the merge,0.0,Confused
10,the current price of bitcoin is  329  it has increased by 107  in the last hours  bitcoin  btc  cryptocurrency,current price of bitcoin is  329  it has increased by 107,0.0,Confused
11,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",laid off tens of employees,0.0,Confused
20,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .", raised the fair ,0.0,Confused
26,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .", double its revenues,0.0,Confused
27,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",share up,0.0,Confused
29,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .", investment in the construction ,0.0,Confused
38,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .", signed up  new clients last year,0.0,Confused
42,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",The fair value of the property portfolio doubled,0.0,Confused
45,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",New long-term contract with Rautaruukki Corporation for marine transport,0.0,Confused
54,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",Agreement signed with Biohit Healthcare Ltd and subsidiary of Biohit Oyj,0.0,Confused
60,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,signed an agreemen,0.0,Confused
61,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",Cramo will become the second largest rental services provider in the Latvian market,0.0,Confused
72,The firm generated sales of 187 mln eur in 2005 .,firm generated sales,0.0,Confused
73,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",German company has signed a code share agreement with American Airlines Inc,0.0,Confused
77,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,tinyurl link takes users to a scamming site,0.0,Confused
0,big eyes  binance coin  and aave are your best bet to become financially free  bnb  crypto  cryptocurrency, best bet to become financially free,1.0,Happy
1,as the asian trading session begins  the global  cryptocurrency market cap is up 68  in the last hours  however  of the top coins  prices are down     bitcoin  341  76      ethereum  711  79 ,global  cryptocurrency market cap is up 68,1.0,Unhappy
2,build your  nfts on the future of  blockchain  fastest evm chain   2 sec tx finality time  all that and much more  accompanied by delegated proof of stake   getting scalability to new heights  i m super  bullish on  vlx    how bout you  cryptonews  sol  crypto  cryptocurrency,super  bullish,1.0,Happy
3,meet the elon musk deep fakes being used to promote crypto scams, promote crypto scams,-1.0,Confused
4, altcoin  cryptocurrency  cryptocurrency market looks great,market looks great,1.0,Confused
5,you really need a level head when you  trade  you cant trade with emotions btc  eth  matic bullish  cryptocurrency,bullish  cryptocurrency,1.0,Happy
6,cryptocurrencies are gaining popularity all over the world and australia is no exception, gaining popularity,1.0,Happy
7,cryptocurrency market still shaky expect huge volatility this week,market still shaky,-1.0,Confused
8,that crypto currency cant be trusted was revealed to us after trudeau took control over gofundme  giveandgo  and crypto  canada is a dictatorship if emperor trudeau doesn t like the charity you donate to  your account will be frozen and you may go to jail, crypto currency cant be trusted,-1.0,Unhappy
9,ethereum mining alternative ravencoin jumps ahead of the merge,ravencoin jumps ahead of the merge,1.0,Confused
10,the current price of bitcoin is  329  it has increased by 107  in the last hours  bitcoin  btc  cryptocurrency,current price of bitcoin is  329  it has increased by 107,1.0,Confused
11,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",laid off tens of employees,-1.0,Confused
12,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,increase the production profitability,1.0,Happy
13,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",net sales growth,1.0,Confused
14,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,pursuing its growth strategy,1.0,Happy
15,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .", net sales doubled,1.0,Happy
16,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",net sales increased,1.0,Happy
17,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,Operating profit rose,1.0,Confused
18,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",up from ,1.0,Confused
19,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers ., increase ,1.0,Confused
20,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .", raised the fair ,1.0,Confused
21,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .", plus,1.0,Happy
22,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .", up from,1.0,Confused
23,"Clothing retail chain Sepp+Ãâ l+Ãâ  's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",sales increased ,1.0,Confused
24,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",sales increased ,1.0,Happy
25,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",sales increased ,1.0,Happy
26,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",higher,1.0,Confused
27,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .", double its revenues,1.0,Confused
28,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .", up from ,1.0,Confused
29,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .", revenues have risen ,1.0,Happy
30,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .", investment in the construction ,1.0,Confused
31,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .", increased ,1.0,Confused
32,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .", doubled ,1.0,Confused
33,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ), increased ,1.0,Happy
34,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .", surged,1.0,Confused
35,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros ., increased ,1.0,Happy
36,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .", increased ,1.0,Happy
37,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .", increased ,1.0,Happy
38,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .", increased ,1.0,Happy
39,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .", signed up,1.0,Happy
40,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",rose,1.0,Happy
41,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",rise,1.0,Confused
42,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .", increased,1.0,Happy
43,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",doubled,1.0,Happy
44,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"tripled , raised",1.0,Happy
45,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .", increased,1.0,Happy
46,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .", signed,1.0,Happy
47,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .", increased,1.0,Happy
48,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",rose,1.0,Happy
49,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",went up,1.0,Happy
50,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",rose,1.0,Confused
51,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",agreed,1.0,Happy
52,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",increased,1.0,Happy
53,Sales have risen in other export markets .,risen,1.0,Confused
54,Sales increased due to growing market rates and increased operations .,"increased, growing",1.0,Happy
55,The agreement strengthens our long-term partnership with Nokia Siemens Networks ., strengthens,1.0,Happy
56,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",signed,1.0,Happy
57,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,increased,1.0,Happy
58,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",up by ,1.0,Happy
59,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",increased,1.0,Happy
60,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",surged,1.0,Confused
61,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .", signed,1.0,Happy
62,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",increased,1.0,Happy
63,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",rose,1.0,Happy
64,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,rose,1.0,Happy
65,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .", soared,1.0,Confused
66,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % ., sales increased,1.0,Happy
67,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",more ,1.0,Happy
68,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .", signed,1.0,Happy
69,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion ., signed an agreement,1.0,Happy
70,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",increase,1.0,Confused
71,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",up,1.0,Happy
72,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",raised,1.0,Happy
73,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj ., signed an agreement,1.0,Happy
74,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,supplier,1.0,Confused
75,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",strengthened,1.0,Confused
76,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",increase,1.0,Confused
77,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,increase,1.0,Happy
78,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",rose,1.0,Happy
79,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",increased,1.0,Happy
80,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",growing,1.0,Confused
81,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",invest,1.0,Confused
82,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",profit jump,1.0,Happy
83,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,rose,1.0,Happy
84,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,increased,1.0,Happy
85,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",up from ,1.0,Happy
86,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",increased,1.0,Happy
87,Net sales of Finnish food industry company L+Ãâ nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,increased,1.0,Happy
88,An individual promotion also generated slightly higher-than-expected revenues .,higher,1.0,Confused
89,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,expand,1.0,Happy
90,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",increased,1.0,Happy
91,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,revenue increased,1.0,Confused
92,Clothing chain Sepp+Ãâ l+Ãâ  's net sales increased by 7.0 % to EUR 30.8 mn ., sales increased,1.0,Happy
93,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,grow,1.0,Confused
94,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,growth,1.0,Confused
95,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",grow,1.0,Happy
96,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",uo from,1.0,Happy
