,text,score
29,exports accounted for 4   of net sales   representing an all time record for the company   ,1.0
30,finnish construction group lemminkainen oyj hel   lem1s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg   russia   ,1.0
31,the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi  s current reserves considerably   ,1.0
32, ntpc ntpc now   30  look   ce now   30   sl  60   nifty  banknifty  equity  stocks  analysis  trading  sp,0.0
33,according to nordic financial group nordea  s analyst sami sarkamies   this makes nokia  s portfolio competitive again   ,1.0
34,both operating profit and net sales for the month period increased   respectively from eur4  m and eur26  m   as compared to   ,1.0
35,nokia will continue to invest in future development of qt   and digia will be responsible for commercial licensing and services business   ,0.0
36,cash flow from operations in january december was a negative eur 1 mn compared to eur 0 mn in the corresponding period in   ,-1.0
37,shares will be acquired in accordance with section of the rules of nasdaq omx helsinki and other rules applicable to the acquisition of own shares   ,0.0
38,according to kesko   the company agreed with the city administration about lease of the building in   its resettlement and construction of a five star hotel hilton for rooms   ,1.0
39,according to ceo hannu syrj  nen   a new common name and visual identity is required as the group has grown and internationalised   ,0.0
40,edelweiss  iifl  motilal oswal  geojit bnp churn out solid numbers  show driven by all segments,1.0
41,he answers questions on how many visitors conversations gets   how big the team is and what the problems are when setting up social media channels   ,0.0
42,the third order awarded to outokumpu technology is by shalkiya zinc of kazakhstan for the shalkiya zinc lead project in kazakhstan   ,1.0
43,furthermore   our fully electrically driven cranes are environmentally friendly   ,1.0
44,amanda said that it had already made a usd5  m investment commitment in russia partners ii fund in july   ,0.0
45,mid and small cap stocks soar after aggresive mutual funds go on year end shopping spree,1.0
46,choose from a giant countdown with red head or rainbow trout    or the giant shad rap in perch color   ,0.0
47,momentum broken  more pullback seen in the banking stocks  mitesh thacker,-1.0
48,operating profit totaled eur 8 mn   down from eur 5 mn in the corresponding period in   ,-1.0
49,both operating profit and net sales for the month period increased   respectively from eur20  m and eur177  m   as compared to the financial year   ,1.0
50,the new apartment block is going up very close to the city center   explained chairman of the board of as yit ehitus priit sauk   ,0.0
51,investment management and investment advisory services are the company  s sole line of business   ,0.0
52,bids or offers include at least 000 shares and the value of the shares must correspond to at least eur4    ,0.0
53,finnish forest machinery manufacturer ponsse has issued a profit warning   ,-1.0
54,nokia siemens networks has struggled to make a profit in the past two years   ,-1.0
55,alma media  s operating profit amounted to eur 9 mn   down from eur 0 mn a year earlier   ,-1.0
56,operating loss before non recurring items was eur 9 mn   compared to a profit of eur 5 mn in   ,-1.0
57,citi maintains sensex december end target of 200  expects  upside for index by june  ,1.0
58, breaking  buying airline  saying one thing to shareholders then  buying airline   hmmm   with stocks plunging  is now w ,1.0
59,in contrast   the company  s net loss for the third quarter of contracted to eur million from eur million for the corresponding period a year ago   ,1.0
60,consolidated operating profit from continuing operations decreased by 3   to eur 2 mn from eur 7 mn in   ,-1.0
61,adjusted for changes in the group structure   the division  s net sales increased by 7     ,1.0
62,the order includes ship cranes that will be delivered for container feeders to be built at wenchong shipyard in china   ,0.0
63,exercise caution while booking profits in sectors like metals  networth stock broking,-1.0
64,first industrial will seek leed designation for uponor  s new building and a 000 square foot speculative distribution center at first park lakeville   ,0.0
65,ambit capital sees  downside in l t  advises investors to  sell ,-1.0
66,mid cap and small cap stocks rally lags  investors told to stay away till poll results announced,-1.0
67,have high expectations from the real estate sector  rajesh jain  market strategist,1.0
68,london marketwatch    nokia nok said it  s won a five year services contract to run hutchison essar  s network operations in nine locations in india   ,1.0
69,after the renovation the biggest moulding line in the orhangazi foundry is the most modern line in europe   ,1.0
70,sanoma learning   literature   offering print and digital learning materials   is present in eleven countries   ,0.0
71,sysopen digia plc   press release   february ibm finland has rewarded its most distinguished partner companies for   ,1.0
72,the ministry of water in tanzania has awarded poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in bukoba and musoma   situated at lake victoria in northern tanzania   ,1.0
73, s amp p to remain range bound until a breakthrough on medical or economic front   jp morgan https   t co cmp3ggue8g  equi ,1.0
74,the company is in the process of building a new fleet and has placed orders for p max tankers of 200 dwt   ,1.0
75,omc space not a favourite  vetri subramaniam  religare mutual fund,-1.0
76,fortum expects its annual capital expenditure in the next four to five years to be within a range of eur 8  billion   as earlier announced   ,0.0
77,s korean shares pare losses after dipping to month low  won firmer,-1.0
78,eq bank forecasts olvi  s net sales at eur 67mn in the second quarter of   and operating profit at eur 4 mn   ,0.0
79,according to hkscan finland   the plan is to increase j  rvi suomen portti  s net sales to eur 80mn to eur 100mn   ,1.0
80,in a media advisory   the ntsb said that after subsequent testing      the train detection system intermittently failed      ,-1.0
81,earnings season for nordic banks is upon us  https   t co j7ewu8hgzn  stocks  stockmarket  economy,0.0
82,incap contract manufacturing services pvt ltd   a subsidiary of incap corporation of finland   plans to double its revenues by 2008   ,1.0
83,so my point here isn t to approve or disapprove  but federal reserve is not buying bonds from  aapl   i e it s not providing debt financing    aapl is one of firms  that run a gamut  whose existing debt the fed is purchasing  frankly not that much of btw  in secondary market  https   t co qgris7uthp,-1.0
84,analysts advise cutting longs as nifty seen slipping to 8600,-1.0
85,profit for the period fell to eur 6 mn from eur 5 mn in january september   ,-1.0
86,   i am extremely delighted with this project and the continuation of cooperation with viking line   ,1.0
87,fortis healthcare to transfer land assets to reit  stock down,-1.0
88,an  of the invention   released by the patent office   said      the chambers are pressurized   ,0.0
89, don t be a hero  don t have an ego  always question yourself and your ability  don t ever feel that you are very good  t ,-1.0
90,full year net sales are expected to increase by approximately     the company said   ,1.0
91,just found the narrative that killed today s rally  thaaaaanks callie       stocks  lol https   t co dh0xxsgtlt,1.0
92,dow futures up points after blue chip index rallies back above 000     dow  futures  stocks  investing  markets  https   t co kjekbzl3ar,1.0
93,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement   ,1.0
94,may     companiesandmarkets com delivered by newstex      this report provides key data and information on the meat   fish and poultry market in finland   ,0.0
95, bidu  save  work  t  aapl  c  msft   xlf  spy  fb  chwy  pton  dis  f  adbe  csco  jpm  ccl  mgm  iwm  hd  v  twtr  xle  xom  to enhance your experience in trading and get instant help click here https   t co o02hlq7vqi https   t co himmpsgvb0,1.0
96,iso omena is based in the matinkyla district of the southern part of the city of espoo   southern finland   ,0.0
97,vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services   ,0.0
98, tlsrp  stocks  stockmarket  telos reports q4 eps on https   t co savsntkln1  surge in sales could not lift company s eps  in the q4 reached break even at  00 per share  sales jumped by 174   to  473 mm from the same quarter a year ago  https   t co nbcfibip8w,1.0
99,the offer of some million shares aimed to raise more than  x20ac million us  million   was expected to be completed by oct    outokumpu said   ,0.0
100,the government has instead proposed an exchange of the state  s stake in lmt to teliasonera  s stake in lattelecom   ,0.0
101,rinkuskiai raised the sales by 1 percent   to 37 million liters   while the sales of kauno alus grew by 3 percent   to 000 liters   ,1.0
102,the lay offs will affect people out of the total okmetic employees in finland   ,-1.0
103,xerox and stora enso have teamed up to tailor the igen3 to the short run   on demand packaging market   ,1.0
104,berling capital   umo capital and veikko laine are the biggest shareholders in amanda capital   ,0.0
105, march   finnish electronics contract manufacturer scanfil oyj hel   scf1v said today its plan to merge wholly owned scanfil ems group with ojala yhtyma oy has hit a snag as shareholders of the domestic rival rejected the deal   ,-1.0
106,cyclical stocks like power  infrastructure  cement and metals to underperform over next few months,-1.0
107,   i am extremely delighted with this project and the continuation of cooperation with viking line   ,1.0
108,the other actions include the cutting of the expensive weekend shifts   the freezing of the production bonus system and by a general cost cutting program   ,0.0
109,glaston  s own glass processing unit   tamglass glass processing   is a manufacturer of high quality safety glass products   and operates in finland   ,0.0
110,finnish steel maker rautaruukki oyj   ruukki   said on july   that it won a 0 mln euro     1 mln   contract to supply and install steel superstructures for partihallsforbindelsen bridge project in gothenburg   western sweden   ,1.0
111,we serve a broad range of customers   including construction and process industries   shipyards   the public sector and households   ,0.0
112,ntpc plunges to year low on cerc pricing rules  top sensex loser,-1.0
113,additionally   information on business segments   competitors and future outlook are provided   ,0.0
114, i think a better question is how far will the  fed allow  stocks to fall before they add to  qe   how far will the fed ,1.0
115,novartis tanks   hits week low as sc denies cancer drug patent,-1.0
116,mix pre market action  top traded large caps in pre market    ba 57   nclh 35   spy 5   ccl 55   aapl 96   aal 29   tsla 39   ual 69   nkla 8   qqq 70   tqqq 2   rcl 85   dal 89   nio 3   bynd 3   msft 7   dkng 3   iwm 85   amzn 9   amd 79  https   t co qgjzbwjjm8,1.0
117, so china has been the driver of global growth the last decade  now that it seems everyone wants to blame china for covid   ,-1.0
118,prior to the transaction   whose financial terms have not been disclosed   alma media owned   of kotikokki net   ,0.0
119,at 59 pm   the omx helsinki index was 32 pct lower at 694   ,-1.0
120,another noticeable thing is that the search for tata and airtel brands was mostly related to   broadband connections     ,0.0
121,the group  s consolidated net sales for totaled 5 billion euros and it employs approximately 000 persons   ,0.0
122,nokia   the world  s largest mobile phone manufacturer   and china postel   china  s largest mobile phone distributor   have a long standing partnership that continues to grow stronger over time   ,1.0
123,buying omc stocks may not be a prudent move at the moment  dipan mehta  member  bse   nse,-1.0
124, october   finnish environmental management company lassila   tikanoja oyj hel   lat1v   or l t   said monday it expects its operating profit   excluding non recurring items   for the whole to be slightly lower than in   ,-1.0
125,shares of nokia corp  rose thursday after the cell phone maker said its third quarter earnings almost doubled and its share of the global handset market increased   ,1.0
126,it also turned to earnings per share   eps   of eur 08 versus loss per share of eur 04   ,1.0
127,the business to be divested generates consolidated net sales of eur million annually and currently has some employees   ,0.0
128,commission income decreased to eur 8 mn   compared to eur 6 mn in the third quarter of   ,-1.0
129,merrill lynch analyst campbell morgan upgraded his recommendation on paperlinx from    neutral    to    buy    in may   ,1.0
130, if you bought  aapl at today s price  you would need years to see profit based on current estimates    this is why i m no ,-1.0
131,operating profit rose to eur 5 mn from eur 7 mn in the corresponding period in   ,1.0
132,both operating profit and net sales for the nine month period increased   respectively by 6   and 4     as compared to the corresponding period in   ,1.0
133,according to kesko   the company agreed with the city administration about lease of the building in   its resettlement and construction of a five star hotel hilton for rooms   ,1.0
134,a purchase agreement for 200 tons of gasoline with delivery at the hamina terminal   finland   was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month   ,1.0
135,the business transfer will take effect from january   and in connection with this employees will transfer from elisa to daxtum as continuing employees   ,0.0
136,the company pledged that the new software would render e mails and other documents much as they appear on desktop computers   ,0.0
137,veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement   ,0.0
138,bel is a decent bet from the defence space based on an impressive order book  neeraj deewan  quantum securities,1.0
139,sarantel   based in wellingborough   uk   designs high performance antennas for portable wireless devices   ,0.0
140, ray dalio  the billionaire hedge fund manager and founder and chief investment officer of bridgewater associates  beli ,0.0
141,finnish bank of   land reports its operating profit fell to eur 9 mn in the third quarter of from eur 6 mn in the third quarter of   ,-1.0
142, we welcome fari hamzei of  back to the show next  stream us live on https   t co 6ivbdicppw   stocks  mar ,0.0
143,the administrators have indicated a need for job cuts at the irish insurer over the next months   ,-1.0
144,ruukki romania   the local arm of finnish metal producer ruukki   increased its capital by 000 euro     14 mln   through cash contribution   it was reported on september     ,1.0
145,just remember investors who waited for  spx to retest its march low are still waiting    keep this in mind when if  spx pulls back  or more from current levels  which would put the index around  personally  i ll be opportunistic if i get another chance to buy  lt  ,-1.0
146,earning preview  infosys operating profit may lag estimates  says starmine,-1.0
147,cramo slipped to a pretax loss of eur 7 million from a pretax profit of eur 9 million   ,-1.0
148, sh   sh  an effective way to short the market in your ira  https   t co zbohg5xh22  stocks  economy  business,1.0
149,microsoft last week also issued the first patch for the windows operating system beta it had released days earlier   ,0.0
150,the e7 smartphone will be available for rs35  per handset across india      nokia india vice president   managing director d shivakumar told reporters   ,0.0
151, fake outrage   fb is an invaluable deep state election interference tool  tantrums like this by their  fakenews media al ,-1.0
152,the company  s profit totaled ls 100 in h1   down 9   year on year   ,-1.0
153,her work at netapp included strategically repositioning the brand in the category and a major global relaunch   ,0.0
154,a  le coq special was developed for the bicentenary of the company and the trade mark   the brewer said   ,0.0
155,only this time   nokia   india  s largest mnc   has sought out a topic that could spark off a million approaches   creativity in emerging markets   ,0.0
156,in the fourth quarter of   oko banks expects the operating environment for banking and investment services to remain similar to that in january september   ,0.0
157,as an alternative to the share exchange   panostaja offers a full cash consideration at the value of 27 euro   7 per share   ,0.0
158,export of oilmeals from india down by pc between april to january ,-1.0
159, april   finnish construction and engineering company outotec oyj hel   ote1v said today it slipped to a net loss of eur7  m in the first quarter of from a net profit of eur12  m in the corresponding period last year   ,-1.0
160,however   the growth margin slowed down due to the financial crisis   ,-1.0
161,idex  from what i hear they are a us firm co  why was the ceo the only person to attend bell ceremony  this company is reminding me of lk only people showed up for there opening i m just saying something is fishy too many unanswered questions   idex  idexfamily  stocks  gnus https   t co gcpkhab0q5,-1.0
162,the group posted net sales of 3 mln euro   5 mln and an operating profit of 000 euro   0 mln in   ,0.0
163,ril  ongc shares dip after election comission stalls gas price hike,-1.0
164,the major breweries increased their domestic beer sales by 5 per cent last year   to 88 million litres from 92 million litres in   ,1.0
165,after the reporting period   biotie north american licensing partner somaxon pharmaceuticals announced positive results with nalmefene in a pilot phase clinical trial for smoking cessation   ,1.0
166,teleste was set up in and is divided into broadband cable networks and video networks business areas   ,0.0
167,the objective of the st  petersburg office is first to boost the company  s maintenance business   ,0.0
168,delhaize le lion has selected the aldata g o l d  vocal pda solution on the motorola wt4090 pda terminal   ,0.0
169,currently   the company foresees its pre tax profit to remain below the level when it reached eur 000 usd 000   compared with previous projections of a slightly better pre tax profit   ,-1.0
170,at 33 am   huhtamaki was the market  s biggest faller   69 pct lower at 35 eur   while the omx helsinki was 32 pct higher at 332   and the omx helsinki was up 47 pct at 687   ,-1.0
171,the company also equipped the sculptural complex rabochy i kolkhoznitsa a worker and a collective farmer in moscow with snow melting system   ,0.0
172,the total scholarship amount was 000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations   ,0.0
173,finnish financial software solutions developer basware oyj said its net profit fell to 000 euro     2 mln   for the first quarter of from 0 mln euro     7 mln   a year earlier   ,-1.0
174,the costanza light   with an aluminum base and washable shade   comes in white   pistachio   orange   blue and red   ,0.0
175,the company slipped to an operating loss of eur 6 million from a profit of eur 3 million   ,-1.0
176, this is a brief summary of our math model for  djia  spx today for you to compare va real time  and see our previous post ,0.0
177,in total   more than surveillance cameras will be handled and managed according to a variety of needs   the company said   ,0.0
178,the facility will be used to refinance citycon  s existing credit facility   the company said   ,0.0
179,finnish silicon wafers manufacturer okmetic oyj said it swung to a net profit of 9 mln euro   3 mln in the first nine months of from a net loss of 8 mln euro   3 mln a year earlier   ,1.0
180,finnish bank of   land reports operating profit of eur 2 mn in the first quarter of   down from eur 3 mn in the corresponding period in   ,-1.0
181,microsoft last week also issued the first patch for the windows operating system beta it had released days earlier   ,0.0
182,the company said production volumes so far indicate the circuit is capable of the targeted output rate of 000 tonnes per day   or million tonnes a year   ,0.0
183,the 000 megawatt wind farm being planned in raahe would be built offshore in front of ruukki  s raahe works   ,0.0
184,rakesh jhunjhunwala to invest in next mediaworks subsidiary  stock surges  in six sessions,1.0
185,olvi   which controls a percent stake in ragutis through a  le coq   said in its annual report published earlier this year that the lithuanian brewery  s sales reached 04 million euros last year   a rise of 4 percent from 49 million euros in   ,1.0
186,today s purchases in my tfsa with   no commission etf purchases means i can buy any amount i want and not worry about fees    stocks  etfs  personalfinance https   t co obdzdlnt0l,1.0
187,our key geographical markets are europe   russian federation   middle east   south africa and japan   ,0.0
188,  adpnews     dec     finnish cutlery and hand tools maker fiskars oyj abp   hel   fisas   said today that it will make redundant a total of office and management staff members of its subsidiary iittala group ltd    ,-1.0
189,gold equities present  an island of value against a backdrop of trouble   sprott asset management senior portfolio manager john hathaway says    gold  stocks  equities  markets  investing https   t co rltn3s2wql,1.0
190,the objective of the planned measures is to achieve significant savings in the next few years   ,1.0
191,gold steadies near  200 as oil firms  sentiment remains bearish,-1.0
192,hotel leela venture fails to pay quarterly interest on lic loan  stock falls ,-1.0
193,in the building and home improvement trade   net sales totalled eur 173 mn   down from eur 566 mn a year earlier   ,-1.0
194,the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition   register now at www glassworldex com ,0.0
195, hour dev project inspired by  johnson17th    might turn this into a nice web app with more sophisticated features   c ,1.0
196,in the method the smelt spouts are separated from the working area by a shielding wall   arranged movable in relation to the smelt spouts   ,0.0
197,operating profit increased to eur 0 mn from eur 9 mn in the corresponding period in   ,1.0
198,earnings per share   eps   in the first half of amounted to eur0    down from eur0  year ago   ,-1.0
199,bearish on tyre companies  rajesh kothari  alfaccurate advisors,-1.0
200,city cu welcomes da members dallas city cu welcomes the members of da fcu as they merge with city cu   ,0.0
201,the company  s board of directors will propose a dividend of eur 95 per share for at the annual general meeting   scheduled to be held on march     ,0.0
202,in the third quarter of fiscal efore swung to a net loss of eur 000 versus a net profit of eur 000 for the corresponding period of fiscal   ,-1.0
203,ukraine crisis over  oil marketing companies gain as rupee appreciates  crude slips,1.0
204,having a china based operation will not only enable us to fully leverage our resources and expertise in wireless solutions   but also strengthen our capability to offer industry leading products for our customers in china      ,1.0
205,jignesh shah  aide shreekant javalgekar held in rs 600 crore nsel scam,-1.0
206,ramirent  s net sales in the second quarterended june were euro 7 million about u s    million   a 3 percent increase compared with euro 6 million for thesecond quarter last year   ,1.0
207,the contract incorporates a convergent charging rating solution for voice and data   which includes internet   gprs   sms   mms and wap   ,0.0
208,environmental clearance for the mundra sez a big relief for adani ports  p phani sekhar,1.0
209,fl group  s private equity division manages all operating companies   including icelandair group   fl travel group   bluebird and sterling   ,0.0
210,it includes options for additional communal building sites as well as construction supervision works for all construction sites   ,0.0
211, lok sabha elections  nifty seen opening lower  poll results eyed,-1.0
212,pipavav defence scrip plunges  on lower than expected purchase price,-1.0
213,its board of directors will propose a dividend of eur0  per share for   up from the eur0  per share paid in   ,1.0
214, rna therapeutics are hot    azn   accent  jun    https   t co kpqb0fw6gl   mrk   skyhawk  may    https   t co bxojl ,0.0
215,the rationalization of the operations seeks to achieve over eur million in yearly savings as from the second quarter of the current financial year   ,1.0
216,realogy holdings corp  rlgy short interest update https   t co ktmrbe05ng  stocks,1.0
217, 350 a difficult level for the nifty to get past  mitesh thacker,-1.0
218,manavigator september   kemira unveils indian jv with ivrcl finnish chemicals group kemira   hel   kra1v   on tuesday announced it has inked a deal to form a joint venture in india with local construction firm ivrcl infrastructure and projects ltd   bom      ,1.0
219,poyry  s contract includes engineering management   civil and detail engineering services   and time scheduling and procurement services   ,0.0
220,jaguar land rover automotive s june quarter pbt down million yoy,-1.0
221, jnj   pg   amp  now  cost   strong companies continuing to increase their dividends during all of this   awesome ,1.0
222,alexandria   va    june    michael g  williams of newbury park   calif    has developed a network device   ,0.0
223,technical indicators for the stock are bullish and s p gives nok a positive stars out of buy ranking   ,1.0
224,previously   the company expected its financial performance to remain at the same level as in   ,0.0
225,   tom doring has a long and successful career in the drives business   and he knows the american market   ,0.0
226,the deal includes the entire personnel of planmill oy   who will transfer to the new company as so called old employees   ,0.0
227,according to the company   its operating profit   excluding non recurring items   in the fourth quarter of was significantly better than expected   and also better than the figures for the fourth quarter of   ,1.0
228,   with this new version it is very important for us to introduce a bim process that is based on the detailed building information model   ,0.0
229,prism cement reports rs 34 crore net loss in oct dec quarter,-1.0
230,it also includes the installation of new equipment   training and start up services   as well as service work of the shoe press delivered by vaahto in   ,0.0
231,clarification on royalty payment likely to help maruti in terms of pricing power  prakash diwan,1.0
232,tekla group  s net sales for were approximately million euros and operating result 6 million euros   ,0.0
233,finnish real estate company sponda oyj said on april   it would build vuosaari harbour service center at the port of helsinki   ,0.0
234, cheap call option upside   ccl calls cheaper than  of history   biib    hd    nclh    hal    wmb    w ,1.0
235,net sales fell by   from the third quarter of to eur 5 mn   ,-1.0
236,omeo   www omeo se   employs and expects net sales of some mln euro     8 mln   for fiscal 2007   ending april     ,0.0
237,operating loss totaled eur 3 mn compared to a profit of eur 2 mn in the corresponding period in   ,-1.0
238,finnish sports equipment maker amer sports oyj   hel   ameas   said today that its net loss narrowed to eur 9 million   usd 3 m   in the second quarter of from eur 2 million in the corresponding period a year earlier   ,1.0
239,rapala vmc corporation stock exchange release october   at 45 am kaupthing bank oyj      kapthing      has informed rapala vmc corporation      rapala      that it has interrupted the liquidity providing for rapala  s share for the time being   ,-1.0
240,in addition to verification of an identity and digital signatures   new state approved mobile id enables to cast votes in elections as well   ,0.0
241,lithuanian beer makers sold 88 million liters of beer in   a rise of 5 per cent from the year earlier figure of 92 million liters   ,1.0
242,in addition   the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections   ,0.0
243,infosys ends  down  global brokerages raise target price post q1 results,-1.0
244,the sale will lead to a pretax capital gain of eur million for the finnish company in   ,1.0
245, rhhby   once   updated data on spk from phase 2 clinical trial in hemophilia a at  isth2020 https   t co hurwnwktd ,0.0
246,masala bonds not spicy enough for the market due to poor pricing,-1.0
247,lithuanian beer makers sold 88 million liters of beer in   a rise of 5 per cent from the year earlier figure of 92 million liters   ,1.0
248,timo penttila has been appointed new manager responsible for the asset management of nordea  s institutional customers in finland   ,0.0
249,koduextra is operating a retail chain of stores   controlled by finnish non food center ky   rukax oy   and scan tukka oy   ,0.0
250,according to nordic financial group nordea  s analyst sami sarkamies   this makes nokia  s portfolio competitive again   ,1.0
251,seven month sales of ragutis   which is controlled by the finnish brewery olvi   declined by 2 percent   to 41 million liters   and the company held 89 percent of the market   ,-1.0
252,finnish sampo bank   of danish danske bank group   reports profit before taxes of eur 3 mn in   up from eur 7 mn in   ,1.0
253,the facility consists of a seven year bullet term loan of mln euro   4 mln and a mln euro   3 mln five year revolving credit facility   ,0.0
254,the uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals      ,0.0
255,schwalm   at   outotec com eila paatela   vice president   corporate communications tel   20 2004   mobile  400 e mail eila   ,0.0
256,underweight on metals   manufacturing stocks   vijai mantri  pramerica mf,-1.0
257,sentiment for  amzn out of total scores    is positive and   is negative   sentiment https   t co gblbcu8kfk,0.0
258,morning market report  nifty  nifty50  sensex  stocks  stockstowatch  stock  share  sharemarket https   t co secz2w3fuv,0.0
259,gateway distriparks is a good bet with a one year view  avinnash gorakssakar  mintdirect com,1.0
260,in august october   the company  s result before taxes totalled eur 6 mn   up from eur 5 mn in the corresponding period in   ,1.0
261,glencore shares dive 5  in hong kong on global commodities slump,-1.0
262,danske bank a s danske dc jumped 7 percent to 4 kroner   rebounding from yesterday s 5 percent slide   ,1.0
263, spx could very well erase all of its losses after being down more than  year to date https   t co 2mwkqkd1go,-1.0
264,support becomes resistance for  aapl   when this puppy gives  look out below https   t co bh7mnavdja,-1.0
265,cohen   steers   inc    534 shares representing 985   of the share capital and voting rights   ,0.0
266,finnish electronics manufacturing services company elcoteq signing a cooperation agreement with a japanese mobile phone manufacturer   bypasses elcoteq tallinn   says jan kotka   ceo of elcoteq tallinn   ,1.0
267,sensex falls in line with emerging markets  feels selling pressure,-1.0
268,it expects revenue between   4 billion and   7 billion   compared to analyst estimates of   67 billion   ,0.0
269,the transaction is in line with aspo  s strategy to expand in the baltic sea region and in the eastern markets   ,1.0
270,our objective is to yield a significant part of our turnover in russia in a couple of years      says solteq  s managing director hannu ahola   ,0.0
271, march   finnish it company digia oyj hel   dig1v announced today an agreement with mobile phone major nokia oyj hel   nok1v to acquire the commercial licensing and service business related to nokia  s qt technology   ,1.0
272,estonia  s beer market overall grew three percent last year to million liters   ,1.0
273,finnish financial group aktia  s operating profit for increased to eur 0 mn from eur 6 mn in   ,1.0
274,okmetic expects its net sales for the first half of to be less than in   ,-1.0
275,korean shares  ends lower  hyundai glovis tumbles  amid unsuccessful stake sale bid,-1.0
276,the chain has been trying to cut its own costs   pressuring vendors such as fitness equipment manufacturer precor to slash prices   ,0.0
277,at the same time   the market for automated liquid handling devices is already larger than that for pipettes   according to biohit   ,0.0
278,atria will also buy the shares of kauhajoen teurastamokiinteistot oy  kauhajoki slaughterhouse property from itikka co operative   ,0.0
279,apart from nordea   also ergo is competing for the position among the top three pension funds providers in estonia   ,0.0
280,votorantim celulose e papel   vcp   is part of the votorantim group   a major brazilian conglomerate   ,0.0
281,real estate is a market to go short and not long  ajay srivastava,-1.0
282,weber convinced his friend ray ostrom   who owned a lake street sporting goods store   to sell the lures   ,0.0
283,finnish management software solutions provider ixonos oyj net profit decreased to 000 euro     000   for the first quarter of from 000 euro     0 mln   for the same period of   ,-1.0
284,finnish sampo bank   of danish danske bank group   reports profit before taxes of eur 3 mn in   up from eur 7 mn in   ,1.0
285,operating margin   however   slipped to 4   from 1     dragged down by a poor performance in enterprise solutions   ,-1.0
286,city24 users can search for homes and properties in all areas where city24 is active   even outside their own country   ,0.0
287,continue trading with long side bias with stop at levels on nifty   mitesh thacker,1.0
288,the program   which was started in the summer of   was originally estimated to last approximately two years   ,0.0
289,nifty s upward move about to resume  sandeep wagle  apta technical advisory services,1.0
290,sell dr reddy laboratories ltd with a target of rs 388  vijay bhambwani,-1.0
