,text,sentiment
73,cohen   steers   inc    5 534 626 shares representing 4 985   of the share capital and voting rights  ,0.0
74,finnish beverage company olvi is one of the last listed companies in finland that has not yet published its financial result for the second quarter of 2009  ,0.0
75,the objective of the st  petersburg office is first to boost the company  s maintenance business  ,0.0
76,following the payment made in april   the company has a total of eur 23 0 million in loans from financial institutions  ,0.0
77,financial details were not disclosed  ,0.0
78,combining the two producers will create a strong eu based fertilizer industry capable of meeting global competition   they added  ,1.0
79,of the sales price   a sales gain of some 3 1 mln euro     4 5 mln   will be recognized in incap  s earnings for 2007  ,1.0
80,after the transaction   alma media raised its stake in talentum to 30 65   of the shares and some 31 12   of voting rights  ,1.0
81,however   the net sales declined to eur 803 6 million from eur 1 2 billion  ,-1.0
82,   after a long   unprofitable period the food division posted a profitable result   which speaks of a healthier cost structure and a new approach in business operations      rihko said  ,1.0
83,sales have risen in other export markets  ,1.0
84,the shares subscribed for under the stock options were registered in the trade register on 20 january 2011   as of which date the new shares will establish shareholder rights  ,0.0
85,the number of permanent reductions of clerical workers is 22 employees   of which 19 in finland  ,-1.0
86,in addition to the presentations held by president   ceo kai telanne and cfo tuomas itkonen   participants will have an opportunity to discuss with other members of the company  s management  ,0.0
87,three students from universiti sains malaysia have won a study trip to helsinki  ,0.0
88,the company  s net sales in 2010 totalled meur 311 4 with an operating margin of 13 9 per cent  ,0.0
89,these sections will be put into place to form the load bearing steel structure of the bridge      says sami eronen   senior vice president   infrastructure and northern europe   ruukki construction  ,0.0
90,the secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar     ,0.0
91,adp news   feb 25   2009   finnish printed circuit board pcb maker aspocomp group oyj hel   acg1v said today it swung to a net profit of eur 300 000 usd 385 000 for 2008 versus a net loss of eur 65 3 million,1.0
92,german commerzbank ag  s hamburg branch and us jp morgan   nyse   jpm   participated as arrangers   and dutch ing   ams   inga   as co arranger  ,0.0
93,finnish publishing and printing group ilkka yhtym   will introduced a staff smoking ban as of the beginning of 2007 at the company  s three newspapers  ,0.0
94,kaupthing bank will publish its annual results for 2007 before markets open on thursday 31 january  ,0.0
95,compagnie de financement foncier   is to issue a benchmark   10 year covered deal in euros  ,0.0
96,   we are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead     ,1.0
97,the inventors are mukkavilli krishna kiran   sabharwal ashutosh and aazhang behnaam  ,0.0
98,after 1 april 2007 cencorp will not have any own employees in the territory  ,0.0
99,the personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business  ,-1.0
100,in the beginning of the negotiations   the estimated number of reductions was 50 at the maximum  ,0.0
101,   we cut our frequency to new york last year   which explains the fall      he said  ,-1.0
102,under the agreement geosentric will provide gypsii powered hotel information and reservation services to visitors to china   including such popular cities as beijing and shanghai  ,1.0
103,last year   8 3 million passengers flew the airline   down 4 percent from 2007  ,-1.0
104,bids or offers include at least 1 000 shares and the value of the shares must correspond to at least eur4  000  ,0.0
105,as part of the reorganisation measures that will take place in spring 2006   tamglass finton will start personnel negotiations that will affect its entire staff of 33  ,-1.0
106,with the government exempting certain stainless steel products from anti dumping duties   finland based outokumpu today said it will look to enter into supply pacts with the indian railways soon  ,0.0
107,the company expects its net sales for the whole 2009 to remain below the 2008 level  ,-1.0
108,finnish waste management and cleaning group lassila   tikanoja oyj   l t   net profit went down to 32 2 mln euro     47 7 mln   for 2007 from 35 3 mln euro     52 3 mln   for 2006  ,-1.0
109,the total investment of the project will be approximately eur 36m  ,0.0
110,alexandria   va    may 16    kenneth bower of vista   calif    has developed an ornamental design for a handset   the u s  patent   trademark office announced  ,0.0
111,at the moment   there are approximately 20 vianor sales offices in russia  ,0.0
112,the changes in readership were not significant  ,0.0
113,the parties have agreed not to disclose the transaction value  ,0.0
114,in 2010   sanoma magazines expects net sales to be at the 2009 level  ,0.0
115,the tekla structures product box   if needed   is now made from recycled material  ,0.0
116,work on the assignment has already started and is due for completion in spring 2011  ,0.0
117,founded in 1923   finnair is one of the world  s oldest airlines and flies to 60 destinations with a fleet of 63 aircraft   employing 9 500 people  ,0.0
118,the personnel s expertise and high level of technology play a major role in exel composites operations  ,0.0
119,the production capacity can be tripled without any major additional investments   the company said  ,1.0
120,3 january 2011   finnish flag carrier finnair oyj   hel   fia1s   said today it sealed a nine year sale and leaseback agreement for its newest airbus a330 aircraft for syndication into the japanese operating lease market  ,1.0
121,   the issues identified by stonesoft affect a range of content inspection technology  ,0.0
122,because expenditures must be justified to pass budget approval hurdles   we believe our rop model can help make it easier for it and it security practitioners to make the business case for acquiring enabling security technologies and related control activities  ,0.0
123,lg display posts strong q1 profit on panel price boost,1.0
124,the technology park will be built near st  petersburg based pulkovo airport  ,0.0
125,repair and maintenance business accounted for net sales of eur 645 3 mn   up from eur 563 6 mn  ,1.0
126,antniemi refuted a report by the finnish daily turun sanomat as if the company was reorganizing its operations in the baltic countries  ,0.0
127,the company said it estimates to make a slight profit thanks to cost cutting measures  ,1.0
128,the completion of the recycling plant is an important link in the chain of creating a waste management system in the dubna region that meets the eu standards  ,1.0
129,in contrast   the company  s net loss for the third quarter of 2009 contracted to eur 76 million from eur 256 million for the corresponding period a year ago  ,1.0
130,the reductions will be concluded by autumn 2010  ,0.0
131,as a result   the number of personnel in finland will be reduced by 158  ,0.0
132,depending on the market situation   such projects are sold after 1 to 3 years after completion  ,0.0
133,the change in holdings in accordance with chapter 2   section 9 of the finnish securities markets act is described below  ,0.0
134,operating profit of operations in finland in the period under review totaled eur 11 3 mn   remaining at the 2005 level  ,0.0
135,all of raisio  s divisions recorded an operating profit  ,1.0
136,pearl plaza llc   the joint venture of srv and shanghai industrial investment holdings co ltd   has concluded the investment decision on construction of the first phase of the shopping center in saint petersburg   russia  ,1.0
137,no changes in media activity were seen in october compared with september  ,0.0
138,if the employee leaves the company within the duration of the cover   the money invested to ensure commitment is returned to the company  ,0.0
139,   after the share purchase is completed   financing will also be provided to expand latvia  s broadband infrastructure and to develop new areas of business   including acquisitions of other companies     ,1.0
140,the increase in capital stock has been registered in the finnish trade register on 20 november 2006  ,1.0
141,both operating profit and net sales for the nine month period increased   respectively by 26 6   and 3 4     as compared to the corresponding period in 2006  ,1.0
142,investments are not disclosed  ,0.0
143,scanfil   a systems supplier and contract manufacturer to the communications sector   will start personnel negotiations in oulu   in finland   to lay off staff temporarily  ,-1.0
144,uk  s sarantel to outsource part of its processes to elcoteq plant in estonia london   oct 13   bns   the british miniature antennas maker sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of elcoteq in the estonian capital tallinn  ,0.0
145,the center will be built in the kapuli district of mantsala beside the hanko mantsala porvoo road near the new direct rail link between lahti and jarvenpaa  ,0.0
146,s group  s loyal customer magazine yhteishyv   came second with 1 629 000 readers and sanoma corporation  s daily newspaper helsingin sanomat was third with 1 097 000 readers  ,0.0
147,it moved into the no  2 spot in 2000 when it merged steel operations with avesta sheffield to form avestapolarit  ,0.0
148,stora enso will receive a 19 9 pct equity interest in the combined company  ,0.0
149,in the second quarter of 2010   the group  s net profit rose to eur3  1 m from eur2  5 m in april june 2009  ,1.0
150,the duration of the contract is 37 months  ,0.0
151,the stock is trading above both its maps and the 50 day map of sek72  983 is higher than the 200 day map of sek70  283   a bullish indicator  ,1.0
152,as production of other products will continue normally   temporary lay offs concern simultaneously at most 80 employees  ,-1.0
153,the total value of the deal is usd 29mn  ,0.0
154,the interchange of editors in chief is a part of publisher  s goal to enhance job circulation in all personnel groups  ,0.0
155,most of the dividend will go to the grimaldi family  ,0.0
156,in 2009   it reported net sales of approximately eur 6mn  ,0.0
157,hk ruokatalo now accounts for about 50   of poultry sales in finland   and profitability is at a good level  ,1.0
158,ebit excluding non recurring items was estimated to increase from 2009  ,1.0
159,tekla will organize an information meeting for analysts and media at wtc helsinki marski meeting room   aleksanterinkatu 17   the same day at 12 30   1 30 p m  light lunch will be served  ,0.0
160,name of company in which holdings have been acquired   citycon oyj 2  ,0.0
161,in the financial statement for the first quarter of 2010   tikkurila is reported under discontinued operations  ,0.0
162,helsinki thomson financial   shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april june profits   which overshadowed the large number of new orders received during the three months  ,-1.0
163,operating profit rose to eur 13 1 mn from eur 8 7 mn in the corresponding period in 2007 representing 7 7   of net sales  ,1.0
164,brazil   s gdp surges back to pre pandemic levels,1.0
165,according to finnair technical services   the measure is above all due to the employment situation  ,0.0
166,porto property weathers the storm,1.0
167,brazil covid deaths rise by 2 966  ,-1.0
168,isms does not disclose its financial results   the daily said  ,0.0
169,they re in a race with google to get lots of users onto their service as social networking creates new business models   said martin garner   a london based analyst with ccs insight  ,0.0
170,the deal covers stockmann auto oy ab  s sales and after sales services concerning volkswagen and audi in helsinki   espoo and vantaa  ,0.0
171,stockmann was established in 1862 in finland and it became the first foreign company to enter russia  s retail trade market in 1989  ,0.0
172,pre tax loss totaled eur 0 3 mn   compared to a loss of eur 2 2 mn in the first quarter of 2005  ,1.0
173,  inge larsen  cfo   29 045 shares   representing 0 50   of the share capital  ,0.0
174,mr skogster currently serves as the manager responsible for abb oy  s system modules for low voltage drives  ,0.0
175,the company is well positioned in brazil and uruguay  ,1.0
176,   neste oil has responded to the challenge posed by the european union  s target of biofuels accounting for 5 8   of traffic fuel usage in the eu by 2010 by developing its nexbtl technology for producing diesel fuel from renewables      the federation said  ,1.0
177,earnings per share   eps   in 2005 decreased to eur1  87 from eur1  89 in 2003  ,-1.0
178,following this increase huhtamaki  s registered share capital is eur360  62 m and the number of shares outstanding is 106 063 320  ,0.0
179,after piloting   the instrument will be further developed according to the experiences gained  ,0.0
180,   our customers now have the chance to make bookings for all the services they want at one location      said mikko tuomainen   in charge of finnair  s internet   sales    ,1.0
181,the ministry of water in tanzania has awarded poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in bukoba and musoma   situated at lake victoria in northern tanzania  ,1.0
182,in q2 of 2009   profit before taxes amounted to eur 13 6 mn   down from eur 26 8 mn in q2 of 2008  ,-1.0
183,the original contract was signed last summer  ,0.0
184,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability  ,1.0
185,the platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen   and means are provided to exert and maintain a pressure in the volume defined by the platen   the band and the seal     ,0.0
186,in this way   the industry  s starting point has been the consumers   needs  ,0.0
187,the item included restructuring costs of eur1  6 m   while a year earlier they were eur13  1 m  diluted eps stood at eur0  3 versus a loss per share of eur 0 1  ,1.0
188,down to eur5  9 m h1  09 3 august 2009   finnish media group ilkka yhtyma oyj   hel   ilk2s   said today its net profit fell 45   on the year to eur5  9 m in the first half of 2009  ,-1.0
189,operating profit totaled eur 5 5 mn   up from eur  0 7 mn  ,1.0
190,operating profit of kauppalehti group rose to eur 1 5 mn from eur 1 3 mn   and that of marketplaces to eur 1 3 mn from eur 1 0 mn in the third quarter of 2006  ,1.0
191,   i am extremely delighted with this project and the continuation of cooperation with viking line  ,1.0
192,finnish silicon wafer technology company okmetic oyj   omx helsinki   okm1v   reported on thursday   7 august   an operating profit of eur5  3 m for the period january june 2008   up from eur3  3 m in the corresponding period in 2007  ,1.0
193,the biggest sellers in the chain  s supermarkets in finland are organic pirkka tomatoes   carrots   eggs   and meat products  ,0.0
194,loss after taxes amounted to eur 1 2 mn compared to a loss of 2 6 mn  ,1.0
195,earnings per share eps in the first quarter amounted to a loss of eur0  20  ,0.0
196,the price of raw material aluminium went up at the end of 2005   but the company considers its outlook for 2006 favourable  ,1.0
197,the aim is an annual improvement in ruukki construction  s operating profit of more than eur 3 million usd 4 1 m starting in 2009  ,1.0
198,the effect of the savings will be noticeable as of the beginning of 2010  ,1.0
199,when the product is manufactured in finland   it is also packed in the country  ,0.0
200,chic and cheerful   finnish design house marimekko has been sending its geometric textiles out into the world for the past 60 years  ,0.0
201,m real plans to discontinue production of standard coated fine paper in the hallein and gohrsm  hle mills  ,0.0
202,finnish home decoration and arts and crafts retailer tiimari plc   omx helsinki   tii1v   reported on monday   18 august   an operating loss of eur3  3 m on net sales of eur33  9 m for the period january june 2008  ,0.0
203,pharmaceuticals   czech republic this brand new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in czech republic  ,0.0
204,the decision of the french court relates to the claims raised by twenty one former aspocomp s a s employees   the company said  ,0.0
205,the social plan negotiations were part of the three year turn around program which is expected to ensure salomon  s future competitiveness  ,1.0
206,latvenergo has ordered a significant expansion to the tekla xpower network information system  ,1.0
207,the electricity requirement of networks will grow with the new mobile generation  ,0.0
208,the total number of filling stations has been on the decrease recently  ,-1.0
209,marathon estimates the value of its remaining stake in protalix at   27 million  ,0.0
210,taiwan   s covid 19 outbreak spreads to chip companies  ,-1.0
211,upon completion of these transactions   metso  s stake will amount to more than 60    ,0.0
212,the rme from telcontar enables the handset to calculate the best route and includes support for user defined routes   feature navigability and multi modal routing such as via foot and ferry  ,0.0
213,according to seikku   the retail sector in finland is controlled by 3 4 large actors   while food manufacturers are still relatively small  ,0.0
214,jun  25   2008   boy genius report delivered by newstex      the nokia   nyse   nok   n78   huh  ,0.0
215,talentum  s net sales in september were smaller than expected  ,-1.0
216,number of offers received for this contract is two  ,0.0
217,the operating margin of aker yards cruise   ferries division went down from 8 3   to 6 4   in the first quarter of 2007  ,-1.0
218,capman   an asset manager   has eur 3bn worth of assets under management in the nordic region  ,0.0
219,the solution will now be expanded to include all ground staff tasks  ,0.0
220,talvivaara is listed on the london stock exchange main market and nasdaq omx helsinki and is included in the ftse 250 index  ,0.0
221,vacon will supply drives to ruselprom in the power range from 200 kw up to 2 mw  ,0.0
222,the group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally  ,0.0
223,the sales of the tiimari segment fell by 4 0   year on year to eur3  3 m in june 2010  ,-1.0
224,covid 19 catastrophe could make global shortages even worse  ,-1.0
225,rimi supermarket is the key customer in magistral center  ,0.0
226,hybrid bond 18 january 2010   finnish it consultancy trainers   house oyj hel   trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investors in a bid to strengthen its capital structure  ,0.0
227,swedish telco teliasonera is teaming up with friends   a swedish organization against bullying   to fight bullying of children and teenagers via electronic channels  ,0.0
228,the offer price is   35 million   including cash of   10 million as net debt assumption of face   and   20 million worth of cencorp shares to be issued to savcor  ,0.0
229,the engine has an electrical output of 18 321 kw   making it the largest gas powered generating set in the world  ,0.0
230,the total project duration is three years and it is valued at some eur11  5 m ,0.0
231,the newly created position has been established to strengthen amer sports   management in strategic planning and execution  ,1.0
232,wellness services will be important in the future  ,0.0
233,kone  s net sales rose by some 14   year on year in the first nine months of 2008  ,1.0
234,helsinki afx   outokumpu technology said it has signed a 3 5 mln eur agreement with mongolia  s erdenet mining corporation for the engineering of the first hydrocopper plant to be built at the erdenet mine site  ,1.0
235,we make available the following brand new market analyses cement   pakistan cement   malaysia cement   taiwan cement   philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries  ,0.0
236,the terms and conditions of stock option scheme 2004 are available on the group  s website  ,0.0
237,adpnews   jul 17   2009   finland based steel maker rautaruukki oyj ruukki hel   rtrks said today it slipped to a net loss of eur 184 million usd 259 7 m for the first half of 2009 from a net profit of eur 2,-1.0
238,the swedish maritime administration has closed the furusund channel   which viking line normally charters en route to stockholm  ,0.0
239,bank of japan will set guidelines when time comes to sell etfs  says kuroda,0.0
240,the fair value of capman plc  s own investments on 30 september 2008 amounted to meur 59 8  ,0.0
241,the company can not give up palm oil altogether   however  ,0.0
242,stora enso   norske skog   m real   upm kymmene credit suisse first boston   cfsb   raised the fair value for shares in four of the largest nordic forestry groups  ,1.0
243,pretax profit totaled eur 9 0 mn   down from eur 36 3 mn in 2007  ,-1.0
244,an audio webcast will be available live and archived on cerner  s web site at www cerner com  ,0.0
245,rory fitzgerald   general manager   operations   bristol port   said      with the use of low maintenance technology we can save up to 30 per cent on servicing   plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption     ,1.0
246,finnish electronics contract manufacturer scanfil reports net sales of eur 241 2 mn in 2006   down from eur 321 6 mn in 2005  ,-1.0
247,outokumpu of finland   stainless steel manufacturer   plans to enter into a supply agreement with the indian railways  ,1.0
248,the company does not at present hold any of its own shares  ,0.0
249,the official opening of the office   located in prague   will be celebrated on may 20  ,0.0
250,operating profit totalled eur 21 1 mn   up from eur 18 6 mn in 2007   representing 9 7   of net sales  ,1.0
251,services supplier efore plc to streamline operations in finland and the us finnish electronic systems and services supplier efore plc   omx helsinki   efo1v   said on tuesday   3 february   that it has initiated statutory negotiations regarding a streamlining of its operations in finland  ,1.0
252,the workforce will be reduced also in the amsterdam office   in the netherlands  ,-1.0
253,capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six weeks starting mid may   it said  ,-1.0
254,thus the group  s balance sheet will have about eur 25 8 million of goodwill   the company added  ,0.0
255,there s no reason to worry about inflation in 2021,1.0
256,officials did not disclose the contract value  ,0.0
257,in addition   yit has reserved epi russia the right to expand the logistics center by about 100 000 m2  ,0.0
258,compared with the ftse 100 index   which fell 35 2 points   or 0 6     on the day   this was a relative price change of 0 6    ,0.0
259,theodosopoulos said tellabs could be of value to nokia siemens or nortel given its    leading supply status    with verizon   along with high growth products  ,1.0
260,we are honored to be recognized by gartner as a specialist in business process modeling and analysis   in the company of many of the largest software vendors in the world  ,1.0
261,cymed  s net sales are expected to amount to eur 3 5 mn in 2006  ,0.0
262,poyry energy gmbh is austria  s leading engineering and consulting company in the energy   infrastructure and environment sector   owned by poyry plc  and the austrian verbund ag  ,0.0
263,poyry has a good track record of major transportation projects in latin america  ,1.0
264,the value of the contract is about eur 27mn  ,0.0
265,ulefos group is the leading supplier of manhole covers in the nordic countries  ,0.0
266,exports make up more than 80 per cent of our sales   so the name glaston also reflects a truly internationally operating company      explains kyro  s president   ceo mika seitovirta  ,0.0
267,during the past decade it has gradually divested noncore assets and bought several sports equipment makers   including california based fitness products international and sparks   nevada based atec   a leading maker of baseball and softball pitching machines  ,1.0
268,the power generated annually by loviisa covers about 10   of finland  s electricity consumption  ,0.0
269,according to viking line  s managing director   nils erik eklund   the company  s board of directors is very satisfied with viking line  s performance  ,1.0
270,it also turned to earnings per share   eps   of eur 0 08 versus loss per share of eur 0 04  ,1.0
271,nordic business report 26 june 2006 metso corporation wins eur50m equipment order in australia    1998 2006 m2 communications ltd the finnish engineering and technology group metso corporation said on monday   26 june   that it has received a eur50m equipment order in australia  ,1.0
272,the airline estimated that the cancellation of its flights due to the closure of european airspace   and the process of recommencing traffic   have caused a the company a loss of eur20m   including the costs of stranded passengers   accommodation  ,-1.0
273,at end august   sampo was nordea  s biggest shareholder with a 20 6   stake   followed by the state with 19 9    ,0.0
274,nigerians blame shell for    community problems   in niger delta  ,-1.0
275,the order consists of capacity expansion   maintenance services and new charging functionality   the company said  ,0.0
276,alexandria   va    oct  3    markka a  oksanen and harald kaaja   both of helsinki   finland   juha salokannel of kangasala   finland   and arto palin of viiala   finland   have developed a system for providing communications security  ,0.0
277,the extraordinary general meeting is expected to take place no later than 18 february 2011  ,0.0
278,tekla structures bim building information modeling software is being developed according to a long term plan of improved user experience   process   and functionality  ,1.0
279,earnings per share eps amounted to eur0  01  ,0.0
280,yakima created the position for him after emerging from economic downturns of its own  ,0.0
281,satama earned data management solutions competency with business intelligence specialization recentlyvia the acquisition of fimentor oy  ,1.0
282,dubai nokia has announced the launch of    comes with music      its ground breaking service which introduces a new way for people to enjoy music  ,1.0
283,most of the growth in beer consumption took place in the far east   latin america and africa  ,0.0
284,the plant will collect raw material from the baltic sea region  ,0.0
285,this will be done domestically and in neighboring markets   both organically and through acquisitions  ,0.0
286,eurochem cfo andrey ilyin said      this facility marks another important step for eurochem in securing the long term financing necessary for our potash and other strategic projects     ,1.0
287,in finland   the bank of   land reports its operating profit fell to eur 6 1 mn in the second quarter of 2008 from eur 7 5 mn in the second quarter of 2007  ,-1.0
288,in 2006   the company intends to invest significantly in expanding its distribution and maintenance network  ,1.0
289,editor  s note   grimaldi generated a 1 7 bln euro     2 182 bln   turnover in 2005   ansa reported on may 29   2006  ,0.0
290,finnish component supplier componenta corporation omx helsinki   cth1v said on monday 16 june that it is changing its pricing cycle due to the increase of raw material prices  ,0.0
291,the executive group will participate in the adjustments with a fixed term 5   salary cut  ,1.0
292,  after fixing our home base   cutting costs and closing the non profitable units   we are now looking at going forward     she said  ,1.0
293,cerberus capital management lp backed printing paper maker newpage corp  has posted mixed second quarter results   casting a cloud over its planned initial public offering  ,-1.0
294,a realignment of interests in the sector is clearly under way  ,1.0
295,reporting in accordance with the merged business operations will start as of january 1   2011  ,0.0
